References,Part,Footprint,Mouser
"U9,U15",74HCT86,SOIC-14,771-74HC86D-T 
U12,74HCT02,SOIC-14,771-74HCT02D-T 
"U10,U14,U16",74AHCT138,SOIC-16,595-SN74AHCT138DR 
U6,74HCT32,SOIC-14,595-SN74HCT32DR 
"U1,U4",74HCT245,TSSOP-20,595-SN74HCT245PWR 
"U2,U3",74HCT573,TSSOP-20,595-SN74HCT573PWR 
"U5,U7",74HCT04,SOIC-14,595-SN74HCT04DR 
"RN1,RN2,RN3",10k,0603_x4,652-CAY16-1002F4LF 
"R1,R2,R3",220,805,603-RT0805FRE07220RL 
"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13",100nF,603,581-0603YC104J4T4A 
"C1,C2",10uF,603,581-0603YD106KAT2A 
"F1,F2",1.5A,1812,576-1812L150/12DR 
D1,LED,3.2x1x2.1mm,859-LTL-4221NHBP 
D3,BAT54A,SOT-23,833-BAT54A-TP 
SW1,DIP-Sw-12,,774-21912LPST 
"SW2,SW3",DPDT,,710-452403012014 
J2,CF Slot,,Umax CFH-R3C1LBM15MN2
U8,DIP-32 Socket,,437-1508063200106161 
J1,2x20 IDC Header,,710-61204020621 
JP1,2x4 Header,,649-1012938390801ALF 
J6,2x20 Header,,649-95278-402B40LF 
D2,1x2 RA Header,,571-826949-2 
,4 x jumper shunts,,571-28815452 
,9202 Bracket,,534-9202 
